,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,Near Street,Location,May involve cyclist,May Involve Pedestrian,Manner of Collision,First Harmful Event Location,First Harmful Event,Ambient Light,Weather Condition 1,Weather Condition 2,Traffic Control Device Type,Traffic Control Device Functionality,Road Surface Condition,Roadway Junction Type,Trafficway Description,School Bus Related,Work Zone,Speed Limit,Street or Intersection,Intersection Name 1,Intersection Direction 1,Intersection Name 2,Intersection Direction 2,Intersection Name 3,Intersection Direction 3,Street Direction,Nearest Intersection Distance,Nearest Intersection Direction,Landmark Distance,Landmark Direction,Landmark,Mile Marker Direction,Non Public Area,Road Contributing,Damaged Property Type,Description of Damaged Property,V1 Registration Type,v1 State Code,V1 Configuration,V1 Emergency Response,V1 Moped,V1 Hit and Run,V1 Action Prior to Crash,V1 Model Year,V1 Most Harmful Event,V1 Model,V1 Make,V1 Occupant Count,V1 Underride Override,V1 First Event,V1 Second Event,V1 Third Event,V1 Fourth Event,V1 Most Damaged Area,V1 Second Damaged Area,V1 Third Damaged Area,V1 Towed,V1 Travel Direction,V1 Interstate,V1 Cargo Body Type,V1 Gross Weight,V1 Haz Placard,V1 Haz Release,V1 Trailer Reg Type,V1 Trailer Reg Plate,V1 Trailer Reg State,V1 Trailer Reg Year,V1 Trailer Len,V1 Driver Contribution,V1 Driver Contribution 2,V1 Is Truck,V1 Has Trailer,V1 Is Bus,V1 Is Hazmat,V1 Reg Year,V1 Driver Distracted,V1 Bus Use,V1 Tow Use,V2 Registration Type,V2 State Code,V2 Configuration,V2 Emergency Response,V2 Moped,V2 Hit and Run,V2 Action Prior to Crash,V2 Model Year,V2 Most Harmful Event,V2 Model,V2 Make,V2 Occupant Count,V2 Underride Override,V2 First Event,V2 Second Event,V2 Third Event,V2 Fourth Event,V2 Most Damaged Area,V2 Second Damaged Area,V2 Third Damaged Area,V2 Towed,V2 Travel Direction,V2 Interstate,V2 Cargo Body Type,V2 Gross Weight,V2 Haz Placard,V2 Haz Release,V2 Trailer Reg Type,V2 Trailer Reg Plate,V2 Trailer Reg State,V2 Trailer Reg Year,V2 Trailer Len,V2 Driver Contribution,V2 Driver Contribution 2,V2 Is Truck,V2 Has Trailer,V2 Is Bus,V2 Is Hazmat,V2 Reg Year,V2 Driver Distracted,V2 Bus Use,V2 Tow Use,P1 Role,P1 Injury,P1 Drivers Lic State,P1 Drivers Lic Class 1,P1 Drivers Lic Class 2,P1 Drivers Lic Restrict,P1 Non Motorist Desc,P1 Non Motorist Action,P1 Non Motorist Location,P1 Safety Equipment,P1 Age,P1 Sex,P1 Seat Position,P1 Safety System,P1 Trapped,P1 Veh Owner,P2 Role,P2 Injury,P2 Drivers Lic State,P2 Drivers Lic Class 1,P2 Drivers Lic Class 2,P2 Drivers Lic Restrict,P2 Non Motorist Desc,P2 Non Motorist Action,P2 Non Motorist Location,P2 Safety Equipment,P2 Age,P2 Sex,P2 Seat Position,P2 Safety System,P2 Trapped,P2 Veh Owner
32,06/10/2015 08:10:00 PM,Wednesday,PASSENGER CAR,,2429,MASSACHUSETTS AVE,,,"2429 MASSACHUSETTS AVE
Cambridge, MA
(42.397893, -71.130732)",1.0,,ANGLE,ROADWAY,,DAYLIGHT,CLEAR,,NO CONTROLS,,,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,OTHER,2012.0,,HARDT,MINICOOPER,1.0,,COLLISION WITH PEDALCYCLE,,,,,,,N,,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,,,,,,,,,,,MALE,,,,,UNINVOLVED OWNER,,,,,,,,,,,MALE,,,,
50,09/08/2015 01:35:00 PM,Tuesday,PASSENGER CAR,,906,MASS AVE,,,"906 MASS AVE
Cambridge, MA
(42.368284, -71.108569)",1.0,,,,,DAYLIGHT,CLEAR,,,,DRY,,,NO,NO,,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2008.0,,RAV4,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,,,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,,Y,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,,,,,,,,,,FEMALE,,,,
55,09/24/2015 11:55:00 AM,Thursday,PASSENGER CAR,,,MASS AVE,GOLDSTAR RD,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,,INTERSECTION,MASS AVE,,GOLDSTAR RD,,,,,,,,,,,,,,,PAV,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2010.0,COLLISION WITH PEDALCYCLE,FIT,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,EASTBOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,UNKNOWN,,MALE,,,,
80,04/07/2016 11:03:00 AM,Thursday,PASSENGER CAR,,,MASSACHUSETTS AVE,,SIDNEY STREET,,1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,RAIN,CLOUDY,TRAFFIC CONTROL SIGNAL,YES,WET,T-INTERSECTION,UNKNOWN,,,,NON INTERSECTION,,,,,,,SOUTHBOUND,,EASTBOUND,,EASTBOUND,FIRE STATION,,,UNKNOWN,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2011.0,OTHER,JETTA,VOLKSWAGON,2.0,,COLLISION WITH PEDALCYCLE,OTHER,,,RIGHT SIDE,,,N,SOUTHBOUND,,,,,,,,,,,OTHER IMPROPER ACTION,OTHER IMPROPER ACTION,,,,,,OTHER ACTIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,,Y,OCCUPANT/PASSENGER,,MASSACHUSETTS,,,,,,,,,FEMALE,OTHER,UNKNOWN,,
82,04/29/2016 12:50:00 PM,Friday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,1414,MASS AVE,,JFK STREET,"1414 MASS AVE
Cambridge, MA
(42.3737, -71.119128)",1.0,,,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLOUDY,,TRAFFIC CONTROL SIGNAL,YES,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,,NON INTERSECTION,,,,,,,SOUTHBOUND,,SOUTHBOUND,,,OUT OF TOWN NEWS,,,TRAFFIC CONTROL DEVICE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,SLOWING OR STOPPED IN TRAFFIC,2007.0,COLLISION WITH PEDALCYCLE,PACIFIC,CHRY,2.0,,OTHER,COLLISION WITH PEDALCYCLE,,,,,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,UNKNOWN,MASSACHUSETTS,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,NONE USED,,FEMALE,,,,,WITNESS,,MASSACHUSETTS,,,,,,,,,MALE,,,,
91,06/29/2016 08:06:00 PM,Wednesday,PASSENGER CAR,,,MASS AVE,LEE STREET,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,,INTERSECTION,MASS AVE,WESTBOUND,LEE STREET,NORTHBOUND,,,,,,,,,,,NONE,,,PAS,MA,PASSENGER CAR,N,,,TURNING LEFT,2002.0,COLLISION WITH PEDALCYCLE,SENTRA,NISSAN,1.0,,COLLISION WITH PEDALCYCLE,,,,CENTER FRONT,,,N,NORTHBOUND,,,,,,,,,,,VISIBILITY OBSTRUCTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,,MASSACHUSETTS,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,IN ROADWAY,HELMET,,FEMALE,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,,,,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y
98,08/05/2016 06:39:00 PM,Friday,PASSENGER CAR,,505,MASS AVE,,,"505 MASS AVE
Cambridge, MA
(42.364179, -71.101672)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,,,DRY,,,,,30,NON INTERSECTION,,,,,,,WESTBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2014.0,COLLISION WITH PEDALCYCLE,CAMRY,TOYOTA,2.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,,,,,,,,,,,,INATTENTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,,,MALE,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,,,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",LAP BELT USED ONLY,NOT TRAPPED,Y
137,04/02/2017 06:18:00 PM,Sunday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASSACHUSETTS AVENUE,VASSAR ST,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,30,INTERSECTION,MASSACHUSETTS AVENUE,WESTBOUND,VASSAR ST,SOUTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,SLOWING OR STOPPED IN TRAFFIC,2011.0,COLLISION WITH PEDALCYCLE,ECONOL,FORD,2.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,GEORGIA,"D, CLASS D VEHICLES",,NONE,,,,,20.0,MALE,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,IN ROADWAY,NONE USED,53.0,MALE,,,,
144,04/27/2017 02:01:00 PM,Thursday,PASSENGER CAR,,2366,MASSACHUSETTS AVENUE,,DUDLEY STREET,"2366 MASSACHUSETTS AVENUE
Cambridge, MA
(42.396515, -71.129317)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PARKED MOTOR VEHICLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,EASTBOUND,5,EASTBOUND,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2014.0,COLLISION WITH PEDALCYCLE,SENRA,NISSAN SENTRA,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,EASTBOUND,,,,,,,,,,,INATTENTION,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,UNINVOLVED OWNER,,,,,,,,,,,,,,,Y
149,05/24/2017 09:17:00 AM,Wednesday,PASSENGER CAR,,1790,MASS AVE,,,"1790 MASS AVE
Cambridge, MA
(42.385954, -71.11934)",1.0,,"SIDESWIPE, SAME DIRECTION",UNKNOWN,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLOUDY,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2014.0,COLLISION WITH PEDALCYCLE,JETTA,VOLSWAGON,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,NONE,NONE,N,SOUTHBOUND,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y
